Disease,Description,Precautions,Medications,Diet,Workout
Arthritis,"Arthritis_is_inflammation_of_one_or_more_joints,_causing_pain_and_stiffness.","exercise,_use_hot_and_cold_therapy,_try_acupuncture,_massage","Vestibular_rehabilitation',_'Canalith_repositioning',_'Medications_for_nausea',_'Surgery',_'Home_exercises'","Arthritis_Diet',_'Anti-Inflammatory_Diet',_'Omega-3-rich_foods',_'Fruits_and_vegetables',_'Whole_grains'","Consume_anti-inflammatory_foods,_Include_omega-3_fatty_acids,_Consume_antioxidant-rich_foods,_Stay_hydrated,_Limit_processed_foods,_Include_vitamin_K-rich_foods,_Consult_a_healthcare_professional,_Follow_medical_recommendations,_Engage_in_low-impact_exercise,_Maintain_a_healthy_weight"
Migraine,Migraine_is_a_type_of_headache_that_often_involves_severe_pain_and_sensitivity_to_light_and_sound.,"meditation,_reduce_stress,_use_poloroid_glasses_in_sun,_consult_doctor","Analgesics',_'Triptans',_'Ergotamine_derivatives',_'Preventive_medications',_'Biofeedback'","Migraine_Diet',_'Low-Tyramine_Diet',_'Caffeine_withdrawal',_'Hydration',_'Magnesium-rich_foods'","Identify_and_avoid_trigger_foods,_Stay_hydrated,_Include_magnesium-rich_foods,_Consume_omega-3_fatty_acids,_Limit_caffeine_and_alcohol,_Consume_riboflavin-rich_foods,_Limit_processed_foods,_Maintain_regular_meal_times,_Consult_a_healthcare_professional,_Manage_stress"
Hepatitis_C,Hepatitis_C_is_a_viral_infection_that_causes_liver_inflammation.,"Consult_nearest_hospital,_vaccination,_eat_healthy,_medication","Antiviral_drugs',_'IV_fluids',_'Blood_transfusions',_'Platelet_transfusions',_'Liver_transplant'","Hepatitis_C_Diet',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Hydration',_'Protein-rich_foods'","Follow_a_balanced_and_nutritious_diet,_Stay_hydrated,_Include_protein-rich_foods,_Consume_nutrient-rich_foods,_Limit_fatty_foods,_Avoid_alcohol_and_caffeine,_Include_vitamin_C-rich_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
Hepatitis_D,Hepatitis_D_is_a_serious_liver_disease_caused_by_the_hepatitis_D_virus.,"consult_doctor,_medication,_eat_healthy,_follow_up","Antiviral_drugs',_'IV_fluids',_'Blood_transfusions',_'Platelet_transfusions',_'Liver_transplant'","Hepatitis_D_Diet',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Hydration',_'Protein-rich_foods'","Follow_a_balanced_and_nutritious_diet,_Stay_hydrated,_Include_protein-rich_foods,_Consume_nutrient-rich_foods,_Limit_fatty_foods,_Avoid_alcohol_and_caffeine,_Include_vitamin_C-rich_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
Peptic_ulcer_disease,Peptic_ulcer_disease_involves_sores_that_develop_on_the_inner_lining_of_the_stomach_and_small_intestine.,"avoid_fatty_spicy_food,_consume_probiotic_food,_eliminate_milk,_limit_alcohol","Antibiotics',_'Proton_Pump_Inhibitors_(PPIs)',_'H2_Blockers',_'Antacids',_'Cytoprotective_agents'","Low-Acid_Diet',_'Fiber-rich_foods',_'Ginger',_'Licorice',_'Aloe_vera_juice'","Consume_smaller,_more_frequent_meals,_Avoid_trigger_foods_(spicy,_acidic),_Include_high-fiber_foods,_Limit_caffeine_and_alcohol,_Stay_hydrated,_Consume_probiotics,_Include_lean_proteins,_Include_antioxidant-rich_foods,_Limit_processed_foods,_Avoid_smoking_and_alcohol"
Osteoarthritis,Osteoarthritis_is_a_degenerative_joint_disease_that_affects_the_cartilage_in_joints.,"acetaminophen,_consult_nearest_hospital,_follow_up,_salt_baths","NSAIDs',_'Disease-modifying_antirheumatic_drugs_(DMARDs)',_'Biologics',_'Corticosteroids',_'Joint_replacement_surgery'","Arthritis_Diet',_'Anti-Inflammatory_Diet',_'Omega-3-rich_foods',_'Fruits_and_vegetables',_'Whole_grains'","Consume_anti-inflammatory_foods,_Include_omega-3_fatty_acids,_Consume_antioxidant-rich_foods,_Stay_hydrated,_Limit_processed_foods,_Include_vitamin_K-rich_foods,_Consult_a_healthcare_professional,_Follow_medical_recommendations,_Engage_in_low-impact_exercise,_Maintain_a_healthy_weight"
Hypothyroidism,Hypothyroidism_is_a_condition_where_the_thyroid_gland_doesn't_produce_enough_thyroid_hormone.,"reduce_stress,_exercise,_eat_healthy,_get_proper_sleep","Antithyroid_medications',_'Radioactive_iodine',_'Thyroid_surgery',_'Beta-blockers',_'Corticosteroids'","Hypothyroidism_Diet',_'Iodine-rich_foods',_'Selenium-rich_foods',_'Fruits_and_vegetables',_'Whole_grains'","Include_iodine-rich_foods,_Consume_selenium-rich_foods,_Stay_hydrated,_Include_nutrient-rich_foods,_Limit_processed_foods,_Consume_foods_rich_in_vitamins_B_and_D,_Consult_a_healthcare_professional,_Follow_medical_recommendations,_Maintain_a_stable_weight,_Engage_in_regular_exercise"
Hepatitis_C,Hepatitis_C_is_a_viral_infection_that_causes_liver_inflammation.,"Consult_nearest_hospital,_vaccination,_eat_healthy,_medication","Antiviral_drugs',_'IV_fluids',_'Blood_transfusions',_'Platelet_transfusions',_'Liver_transplant'","Hepatitis_C_Diet',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Hydration',_'Protein-rich_foods'","Follow_a_balanced_and_nutritious_diet,_Stay_hydrated,_Include_protein-rich_foods,_Consume_nutrient-rich_foods,_Limit_fatty_foods,_Avoid_alcohol_and_caffeine,_Include_vitamin_C-rich_foods,_Consult_a_healthcare_professional,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
Chicken_pox,Chicken_pox_is_a_highly_contagious_viral_infection_causing_an_itchy_rash.,"use_neem_in_bathing_,_consume_neem_leaves,_take_vaccine,_avoid_public_places","Antiviral_drugs',_'Pain_relievers',_'IV_fluids',_'Blood_transfusions',_'Platelet_transfusions'","Chicken_Pox_Diet',_'High-Calorie_Diet',_'Soft_and_bland_foods',_'Hydration',_'Protein-rich_foods'","Stay_hydrated,_Include_easily_digestible_foods,_Include_vitamin_C-rich_foods,_Consume_protein-rich_foods,_Include_zinc-rich_foods,_Avoid_spicy_and_acidic_foods,_Consult_a_healthcare_professional,_Practice_good_hygiene,_Rest_and_conserve_energy,_Gradually_resume_normal_diet"
(vertigo)_Paroxysmal_Positional_Vertigo,(Vertigo)_Paroxysmal_Positional_Vertigo_is_a_type_of_dizziness_caused_by_specific_head_movements.,"lie_down,_avoid_sudden_change_in_body,_avoid_abrupt_head_movment,_relax","Topical_treatments',_'Antibiotics',_'Oral_medications',_'Hormonal_treatments',_'Isotretinoin'","Vertigo_Diet',_'Low-Salt_Diet',_'Hydration',_'Ginger_tea',_'Vitamin_D-rich_foods'","Avoid_trigger_foods_(caffeine,_alcohol),_Limit_sodium_intake,_Stay_hydrated,_Consume_ginger_and_ginkgo_biloba,_Limit_artificial_sweeteners,_Consult_a_healthcare_professional,_Avoid_sudden_head_movements,_Follow_medical_recommendations,_Manage_stress,_Limit_caffeine_and_stimulants"
